SoC,OCV,R0,R1,R2,C1,C2,Tau1,Tau2
0.0,41.29909651917655,0.0430635150112862,0.0170587690221865,0.0230242988971101,4020.624983948788,22334.138949999982,68.58691292601486,514.2278907943893
1e-05,41.30033323671371,0.0430623583020696,0.0170587386543078,0.023022925831786,4020.551737895076,22336.088139864176,68.5855413428752,514.2421006163288
2e-05,41.301570130584,0.0430612016997123,0.0170587082690618,0.0230215528437392,4020.478500951955,22338.037405660085,68.58416984977443,514.2563085598277
3e-05,41.30280720062536,0.0430600452042095,0.0170586778664499,0.0230201799329672,4020.40527311872,22339.98674738823,68.58279844670881,514.2705146249818
4e-05,41.304044446675725,0.0430588888155566,0.0170586474464733,0.0230188070994676,4020.332054394664,22341.93616504916,68.58142713367457,514.2847188118867
5e-05,41.30528186857305,0.0430577325337487,0.0170586170091335,0.0230174343432378,4020.258844779083,22343.88565864342,68.58005591066797,514.2989211206379
6e-05,41.30651946615527,0.0430565763587814,0.0170585865544317,0.0230160616642752,4020.18564427127,22345.83522817153,68.57868477768523,514.313121551331
7e-05,41.30775723926034,0.0430554202906497,0.0170585560823692,0.0230146890625775,4020.112452870521,22347.784873634057,68.57731373472261,514.3273201040618
8e-05,41.30899518772621,0.043054264329349,0.0170585255929473,0.0230133165381421,4020.039270576129,22349.734595031547,68.57594278177635,514.3415167789261
9e-05,41.31023331139079,0.0430531084748746,0.0170584950861674,0.0230119440909664,4019.966097387391,22351.68439236452,68.57457191884268,514.3557115760194
0.0001,41.31147161009206,0.0430519527272217,0.0170584645620308,0.023010571721048,4019.892933303601,22353.634265633504,68.57320114591788,514.3699044954371
0.00011,41.31271008366795,0.0430507970863858,0.0170584340205389,0.0230091994283844,4019.819778324052,22355.58421483907,68.57183046299816,514.3840955372752
0.00012,41.313948731956415,0.0430496415523619,0.0170584034616928,0.023007827212973,4019.746632448043,22357.53423998172,68.57045987007979,514.3982847016291
0.00013,41.31518755479539,0.0430484861251455,0.017058372885494,0.0230064550748115,4019.6734956748646,22359.48434106202,68.569089367159,514.4124719885947
0.00014,41.31642655202282,0.0430473308047318,0.0170583422919437,0.0230050830138971,4019.6003680038143,22361.434518080503,68.567718954232,514.4266573982675
0.00015,41.31766572347664,0.0430461755911161,0.0170583116810433,0.0230037110302275,4019.527249434189,22363.38477103767,68.56634863129511,514.4408409307429
0.00016,41.31890506899482,0.0430450204842937,0.017058281052794,0.0230023391238002,4019.45413996528,22365.33509993409,68.56497839834452,514.4550225861168
0.00017,41.32014458841528,0.0430438654842599,0.0170582504071973,0.0230009672946126,4019.3810395963874,22367.2855047703,68.5636082553765,514.4692023644849
0.00018,41.32138428157597,0.0430427105910099,0.0170582197442544,0.0229995955426622,4019.307948326804,22369.23598554681,68.56223820238726,514.4833802659425
0.00019,41.32262414831485,0.0430415558045391,0.0170581890639667,0.0229982238679466,4019.234866155825,22371.186542264164,68.5608682393731,514.4975562905856
0.0002,41.32386418846985,0.0430404011248428,0.0170581583663354,0.0229968522704631,4019.161793082747,22373.1371749229,68.5594983663302,514.5117304385096
0.00021,41.32510440187892,0.0430392465519162,0.0170581276513619,0.0229954807502094,4019.088729106867,22375.087883523523,68.55812858325486,514.52590270981
0.00022,41.32634478837999,0.0430380920857546,0.0170580969190474,0.0229941093071829,4019.015674227478,22377.038668066594,68.55675889014329,514.5400731045827
0.00023,41.327585347811024,0.0430369377263533,0.0170580661693934,0.0229927379413811,4018.942628443879,22378.98952855265,68.55538928699174,514.5542416229234
0.00024,41.32882608000996,0.0430357834737075,0.0170580354024011,0.0229913666528015,4018.869591755365,22380.940464982177,68.55401977379648,514.5684082649273
0.00025,41.33006698481473,0.0430346293278127,0.0170580046180718,0.0229899954414415,4018.7965641612313,22382.891477355726,68.55265035055373,514.5825730306901
0.00026,41.331308062063286,0.0430334752886641,0.0170579738164069,0.0229886243072988,4018.723545660775,22384.84256567385,68.55128101725975,514.5967359203079
0.00027,41.33254931159359,0.0430323213562569,0.0170579429974077,0.0229872532503707,4018.650536253292,22386.79372993704,68.54991177391078,514.6108969338758
0.00028,41.33379073324357,0.0430311675305865,0.0170579121610755,0.0229858822706549,4018.577535938079,22388.744970145824,68.54854262050306,514.6250560714894
0.00029,41.33503232685116,0.0430300138116481,0.0170578813074115,0.0229845113681486,4018.504544714432,22390.69628630076,68.54717355703283,514.6392133332447
0.0003,41.33627409225433,0.043028860199437,0.0170578504364172,0.0229831405428496,4018.431562581646,22392.64767840234,68.54580458349635,514.653368719237
0.00031,41.337516029291,0.0430277066939486,0.0170578195480939,0.0229817697947552,4018.3585895390224,22394.59914645109,68.54443569988987,514.6675222295619
0.00032,41.33875813779914,0.043026553295178,0.0170577886424428,0.022980399123863,4018.285625585854,22396.55069044756,68.54306690620962,514.6816738643151
0.00033,41.340000417616665,0.0430254000031206,0.0170577577194652,0.0229790285301704,4018.2126707214384,22398.50231039226,68.54169820245184,514.6958236235923
0.00034,41.34124286858153,0.0430242468177718,0.0170577267791626,0.0229776580136749,4018.139724945073,22400.454006285705,68.5403295886128,514.709971507489
0.00035,41.34248549053169,0.0430230937391267,0.0170576958215362,0.0229762875743741,4018.066788256055,22402.405778128417,68.53896106468875,514.7241175161006
0.00036,41.3437282833051,0.0430219407671806,0.0170576648465873,0.0229749172122655,4017.9938606536793,22404.357625920944,68.53759263067589,514.7382616495231
0.00037,41.34497124673967,0.043020787901929,0.0170576338543172,0.0229735469273464,4017.920942137246,22406.309549663765,68.5362242865705,514.7524039078517
0.00038,41.346214380673366,0.0430196351433669,0.0170576028447273,0.0229721767196145,4017.848032706051,22408.261549357416,68.53485603236884,514.7665442911821
0.00039,41.347457684944125,0.0430184824914898,0.0170575718178188,0.0229708065890672,4017.775132359391,22410.213625002427,68.53348786806711,514.78068279961
0.0004,41.3487011593899,0.0430173299462929,0.0170575407735932,0.022969436535702,4017.7022410965656,22412.165776599304,68.53211979366161,514.7948194332308
0.00041,41.349944803848615,0.0430161775077716,0.0170575097120516,0.0229680665595164,4017.6293589168704,22414.11800414857,68.53075180914855,514.8089541921404
0.00042,41.35118861815825,0.043015025175921,0.0170574786331955,0.0229666966605079,4017.556485819603,22416.07030765076,68.52938391452419,514.8230870764341
0.00043,41.35243260215671,0.0430138729507365,0.0170574475370261,0.022965326838674,4017.483621804062,22418.02268710634,68.52801610978477,514.8372180862075
0.00044,41.35367675568197,0.0430127208322134,0.0170574164235448,0.0229639570940122,4017.4107668695456,22419.975142515883,68.52664839492655,514.8513472215564
0.00045,41.35492107857196,0.0430115688203469,0.0170573852927529,0.02296258742652,4017.337921015348,22421.92767387988,68.52528076994575,514.8654744825761
0.00046,41.35616557066462,0.0430104169151325,0.0170573541446516,0.0229612178361949,4017.265084240771,22423.880281198824,68.52391323483864,514.8795998693624
0.00047,41.35741023179792,0.0430092651165652,0.0170573229792423,0.0229598483230343,4017.1922565451127,22425.83296447325,68.52254578960148,514.8937233820106
0.00048,41.35865506180976,0.0430081134246406,0.0170572917965264,0.0229584788870359,4017.119437927668,22427.785723703684,68.52117843423048,514.9078450206166
0.00049,41.35990006053812,0.0430069618393537,0.0170572605965051,0.022957109528197,4017.046628387738,22429.73855889061,68.5198111687219,514.9219647852758
0.0005,41.36114522782094,0.0430058103607,0.0170572293791797,0.0229557402465151,4016.97382792462,22431.69147003456,68.518443993072,514.9360826760837
0.00051,41.36239056349616,0.0430046589886747,0.0170571981445516,0.0229543710419878,4016.901036537612,22433.644457136048,68.517076907277,514.9501986931359
0.00052,41.36363606740172,0.043003507723273,0.0170571668926221,0.0229530019146126,4016.828254226013,22435.597520195563,68.51570991133319,514.964312836528
0.00053,41.36488173937557,0.0430023565644904,0.0170571356233925,0.022951632864387,4016.7554809891217,22437.550659213608,68.51434300523678,514.9784251063554
