Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.5,-69.1375,-90.0,top
C11,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,152.0,-59.5375,-90.0,top
C12,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.6375,-66.0,0.0,top
C13,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140.0,-74.1375,-90.0,top
C14,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.0,-59.5,90.0,top
C15,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.0,-68.3625,90.0,top
C16,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.0,-72.3625,90.0,top
C17,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.5,-63.1375,90.0,top
C18,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.5,-59.3625,90.0,top
C19,4.7nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.0,-64.03,90.0,top
